"","Site","Latitude","Longitude","Genetics","Planting"
"1","crookston_mn",47.805,-96.61426667,-0.5,2019-05-17
"2","roseau_mn",48.1623,-96.0419,-0.5,2019-05-18
"3","thiefriverfalls_mn",48.1283,-96.2427,-0.5,2019-05-18
"4","casselton_nd",46.8866,-97.2386,-0.5,2019-05-17
"5","ottawa_ont",45.3712,-75.72575,-0.5,2019-05-22
"6","lapocatiere_que",47.357,-70.023,-0.5,2019-06-06
"7","stmathieudebeloeil_que",45.5834,-73.2422,-0.5,2019-06-07
"8","casselton_nd",46.8866,-97.2386,0.5,2019-05-17
"9","ottawa_ont",45.3712,-75.72575,0.5,2019-05-22
"10","woodstock_ont",43.14542,-80.78348,0.5,2019-06-14
"11","stmathieudebeloeil_que",45.5834,-73.2422,0.5,2019-06-07
"12","rosemount_mn",44.707,-93.101,1.5,2019-05-26
"13","mead_ne",41.15785,-96.42075,1.5,2019-05-16
"14","phillips_ne",40.8473,-98.177,1.5,2019-05-18
"15","palmyra_ont",42.4581,-81.7291,1.5,2019-06-19
"16","stpauls_ont",43.32515,-81.1402,1.5,2019-06-09
"17","woodstock_ont",43.14542,-80.78348,1.5,2019-06-12
"18","sthyacinthe_que",45.5932,-72.9316,1.5,2019-06-01
"19","ames_ia",42.0215,-93.7745,1.5,2019-05-23
"20","eastlansing_mi",42.6296,-84.4375,1.5,2019-05-29
"21","woodstock_ont",43.14542,-80.78348,1.5,2019-06-14
"22","ames_ia",42.0215,-93.7745,2.5,2019-05-23
"23","urbana_il",40.05325,-88.23485,2.5,2019-06-05
"24","eastlansing_mi",42.6296,-84.4375,2.5,2019-05-29
"25","mead_ne",41.15785,-96.42075,2.5,2019-05-16
"26","phillips_ne",40.8473,-98.177,2.5,2019-05-18
"27","chatham_ont",42.38,-82.2524,2.5,2019-06-24
"28","ames_ia",42.0215,-93.7745,3.5,2019-05-23
"29","arthur_il",39.70646667,-88.47023333,3.5,2019-06-04
"30","urbana_il",40.05325,-88.23485,3.5,2019-06-05
"31","wanatah_in",41.4444,-86.9437,3.5,2019-06-03
"32","ottawa_ks",38.5404,-95.2477,3.5,2019-06-03
"33","albany_mo",40.2384,-94.3433,3.5,2019-06-07
"34","columbia_mo",38.8894,-92.2081,3.5,2019-06-04
"35","phillips_ne",40.8473,-98.177,3.5,2019-05-18
"36","wymore_ne",40.1222,-96.6625,3.5,2019-06-05
"37","flora_il",38.702763,-88.518259,4.5,2019-06-10
"38","ivesdale_il",39.9481,-88.44975,4.5,2019-06-01
"39","urbana_il",40.05325,-88.23485,4.5,2019-06-05
"40","manhattan_ks",38.1326,-96.62,4.5,2019-06-05
"41","ottawa_ks",38.5404,-95.2477,4.5,2019-06-03
"42","riley_ks",39.310966,-96.837075,4.5,2019-06-04
"43","albany_mo",40.2384,-94.3433,4.5,2019-06-07
"44","columbia_mo",38.8894,-92.2081,4.5,2019-06-03
"45","portagevilleclay_mo",36.3987,-88.6051,4.5,2019-05-16
"46","portagevilleloam_mo",36.39516667,-89.6102,4.5,2019-05-14
"47","shelly_mn",47.4264,-96.8317,0.5,2019-05-20
"48","wanatah_in",41.4444,-86.9437,1.5,2019-06-03
"49","saginaw_mi",43.4003,-83.8684,1.5,2019-06-08
"50","danvers_mn",45.2803,-95.7591,1.5,2019-05-26
"51","morris_mn",45.3552,-95.5436,1.5,2019-05-30
"52","pontiac_il",40.82216667,-88.62016667,2.5,2019-06-07
"53","urbana_il",40.05325,-88.23485,2.5,2019-05-31
"54","wanatah_in",41.4444,-86.9437,2.5,2019-06-03
"55","britton_mi",41.9256,-83.8225,2.5,2019-06-09
"56","wooster_oh",40.7565,-81.9004,2.5,2019-05-22
"57","urbana_il",40.05325,-88.23485,3.5,2019-05-31
"58","romney_in",40.2364,-86.8889,3.5,2019-06-08
"59","wooster_oh",40.7565,-81.9004,3.5,2019-05-22
"60","urbana_il",40.05325,-88.23485,4.5,2019-05-31
"61","romney_in",40.2364,-86.8889,4.5,2019-06-08
"62","columbia_mo",38.8894,-92.2081,4.5,2019-06-04
"63","crookston_mn",47.805,-96.61426667,-0.5,2018-05-23
"64","shelly_mn",47.4264,-96.8317,-0.5,2018-05-24
"65","casselton_nd",46.8866,-97.2386,-0.5,2018-05-07
"66","ottawa_ont",45.3712,-75.72575,-0.5,2018-05-18
"67","lapocatiere_que",47.357,-70.023,-0.5,2018-05-28
"68","stmathieudebeloeil_que",45.5834,-73.2422,-0.5,2018-05-24
"69","ames_ia",42.0215,-93.7745,1.5,2018-05-25
"70","kanawha_ia",42.9333,-93.7924,1.5,2018-05-18
"71","wanatah_in",41.4444,-86.9437,1.5,2018-05-25
"72","eastlansing_mi",42.6296,-84.4375,1.5,2018-06-07
"73","saginaw_mi",43.4003,-83.8684,1.5,2018-05-21
"74","danvers_mn",45.2803,-95.7591,1.5,2018-05-21
"75","rosemount_mn",44.707,-93.101,1.5,2018-05-19
"76","mead_ne",41.15785,-96.42075,1.5,2018-05-17
"77","ridgetown_ont",42.4527,-81.8803,1.5,2018-05-31
"78","stpauls_ont",43.32515,-81.1402,1.5,2018-05-23
"79","woodstock_ont",43.14542,-80.78348,1.5,2018-05-25
"80","ames_ia",42.0215,-93.7745,2.5,2018-05-25
"81","pontiac_il",40.82216667,-88.62016667,2.5,2018-05-08
"82","urbana_il",40.05325,-88.23485,2.5,2018-05-07
"83","wanatah_in",41.4444,-86.9437,2.5,2018-05-25
"84","eastlansing_mi",42.6296,-84.4375,2.5,2018-06-07
"85","lenawee_mi",41.9,-84.07,2.5,2018-05-29
"86","lamberton_mn",44.24095,-95.3115,2.5,2018-05-16
"87","waseca_mn",44.07345,-93.53225,2.5,2018-05-17
"88","mead_ne",41.15785,-96.42075,2.5,2018-05-17
"89","hoytville_oh",41.2126,-83.7578,2.5,2018-05-30
"90","chatham_ont",42.38,-82.2524,2.5,2018-07-07
"91","ivesdale_il",39.9481,-88.44975,4.5,2018-05-14
"92","neoga_il",39.323,-88.452,4.5,2018-05-11
"93","urbana_il",40.05325,-88.23485,4.5,2018-05-08
"94","manhattan_ks",38.1326,-96.62,4.5,2018-05-18
"95","onaga_ks",39.4889,-96.17,4.5,2018-05-11
"96","ottawa_ks",38.5404,-95.2477,4.5,2018-05-15
"97","novelty_mo",39.9428,-92.0534,4.5,2018-05-16
"98","portagevilleclay_mo",36.3987,-88.6051,4.5,2018-05-28
"99","portagevilleloam_mo",36.39516667,-89.6102,4.5,2018-05-01
"100","rockport_mo",40.273,-95.4743,4.5,2018-05-22
"101","thiefriverfalls_mn",48.1283,-96.2427,-0.5,2018-06-16
"102","crookston_mn",47.805,-96.61426667,0.5,2018-05-23
"103","shelly_mn",47.4264,-96.8317,0.5,2018-05-24
"104","casselton_nd",46.8866,-97.2386,0.5,2018-05-07
"105","morris_mn",45.3552,-95.5436,1.5,2018-05-13
"106","arthur_il",39.70646667,-88.47023333,3.5,2018-05-07
"107","urbana_il",40.05325,-88.23485,3.5,2018-05-07
"108","wanatah_in",41.4444,-86.9437,3.5,2018-05-25
"109","novelty_mo",39.9428,-92.0534,3.5,2018-05-15
"110","rockport_mo",40.273,-95.4743,3.5,2018-05-23
"111","urbana_il",40.05325,-88.23485,4.5,2018-05-07
"112","novelty_mo",39.9428,-92.0534,4.5,2018-05-15
"113","rockport_mo",40.273,-95.4743,4.5,2018-05-23
